Age,Height,Weight,FAVC,FCVC,NCP,SCC,SMOKE,CH2O,family_history_with_overweight,FAF,TUE,Gender_Male,CALC_Frequently,CALC_Sometimes,CALC_no,CAEC_Frequently,CAEC_Sometimes,CAEC_no,MTRANS_Bike,MTRANS_Motorbike,MTRANS_Public_Transportation,MTRANS_Walking
21.0,1.62,64.0,0,170,477,0,0,549,1,0,840,False,False,False,True,False,True,False,False,False,True,False
21.0,1.52,56.0,0,809,477,1,1,1267,1,1189,0,False,False,True,False,False,True,False,False,False,True,False
23.0,1.8,77.0,0,170,477,0,0,549,1,1071,840,True,True,False,False,False,True,False,False,False,True,False
27.0,1.8,87.0,0,809,477,0,0,549,0,1071,0,True,True,False,False,False,True,False,False,False,False,True
22.0,1.78,89.8,0,170,0,0,0,549,0,0,0,True,False,True,False,False,True,False,False,False,True,False
29.0,1.62,53.0,1,170,477,0,0,549,0,0,0,True,False,True,False,False,True,False,False,False,False,False
23.0,1.5,55.0,1,809,477,0,0,549,1,589,0,False,False,True,False,False,True,False,False,True,False,False
22.0,1.64,53.0,0,170,477,0,0,549,0,1189,0,True,False,True,False,False,True,False,False,False,True,False
24.0,1.78,64.0,1,809,477,0,0,549,1,589,840,True,True,False,False,False,True,False,False,False,True,False
22.0,1.72,68.0,1,170,477,0,0,549,1,589,840,True,False,False,True,False,True,False,False,False,True,False
26.0,1.85,105.0,1,809,477,0,0,1267,1,1071,1128,True,False,True,False,True,False,False,False,False,True,False
21.0,1.72,80.0,1,170,477,1,0,549,1,1071,840,False,False,True,False,True,False,False,False,False,True,False
22.0,1.65,56.0,0,809,477,0,0,1267,0,1071,0,True,False,True,False,False,True,False,False,False,True,False
41.0,1.8,99.0,1,170,477,0,0,549,0,1071,840,True,True,False,False,False,True,False,False,False,False,False
23.0,1.77,60.0,1,809,0,0,0,0,1,589,840,True,False,True,False,False,True,False,False,False,True,False
22.0,1.7,66.0,0,809,477,1,0,549,1,1071,840,False,False,True,False,False,False,False,False,False,True,False
27.0,1.93,102.0,1,170,0,0,0,0,1,589,0,True,False,True,False,False,True,False,False,False,True,False
29.0,1.53,78.0,1,170,0,0,0,549,0,0,0,False,False,False,True,False,True,False,False,False,False,False
30.0,1.71,82.0,1,809,634,0,1,0,1,0,0,False,False,False,True,True,False,False,False,False,False,False
23.0,1.65,70.0,0,170,0,0,0,549,1,0,0,False,False,True,False,False,True,False,False,False,True,False
22.0,1.65,80.0,0,170,477,0,0,549,1,1189,1128,True,False,False,True,False,True,False,False,False,False,True
52.0,1.69,87.0,1,809,0,0,1,549,1,0,0,False,False,False,True,False,True,False,False,False,False,False
22.0,1.65,60.0,1,809,477,0,0,549,1,589,0,False,False,True,False,False,True,False,False,False,False,False
22.0,1.6,82.0,1,0,0,0,0,549,1,0,1128,False,False,True,False,False,True,False,False,False,True,False
21.0,1.85,68.0,1,170,477,0,0,549,1,0,840,True,False,True,False,False,True,False,False,False,True,False
20.0,1.6,50.0,0,170,634,0,1,549,1,1189,1128,True,False,False,True,True,False,False,False,False,True,False
21.0,1.7,65.0,1,170,0,0,0,549,1,589,1128,True,False,False,False,True,False,False,False,False,False,True
23.0,1.6,52.0,1,170,634,0,0,549,0,1071,840,False,False,True,False,True,False,False,False,False,False,False
19.0,1.75,76.0,1,809,477,1,0,549,1,1189,840,True,False,True,False,False,True,False,False,False,True,False
23.0,1.68,70.0,1,170,477,0,0,549,0,1071,1128,True,True,False,False,False,True,False,False,False,False,True
29.0,1.77,83.0,1,0,634,0,0,1267,0,0,840,True,False,False,True,True,False,False,False,True,False,False
31.0,1.58,68.0,0,170,0,0,0,0,1,589,0,False,False,True,False,False,True,False,False,False,True,False
24.0,1.77,76.0,0,170,477,0,0,1267,0,589,840,False,False,True,False,False,True,False,False,False,False,True
39.0,1.79,90.0,0,170,0,0,0,549,0,0,0,True,False,True,False,False,True,False,False,False,True,False
22.0,1.65,62.0,1,170,634,0,0,549,0,1071,0,True,False,True,False,True,False,False,False,False,True,False
21.0,1.5,65.0,0,170,477,0,0,549,1,1071,1128,False,False,True,False,False,True,False,False,False,True,False
22.0,1.56,49.0,1,170,477,1,0,0,0,1071,0,False,False,False,True,False,True,False,False,False,False,True
21.0,1.6,48.0,1,170,477,0,0,0,0,589,0,False,False,True,False,False,True,False,False,False,True,False
23.0,1.65,67.0,1,170,477,0,0,549,1,589,840,True,False,True,False,False,True,False,False,False,True,False
21.0,1.75,88.0,1,170,477,0,0,1267,1,1189,0,False,False,True,False,False,True,False,False,False,True,False
21.0,1.67,75.0,1,170,477,0,0,549,1,589,0,False,False,True,False,False,True,False,False,False,True,False
23.0,1.68,60.0,0,170,634,0,0,549,0,0,0,True,False,False,True,True,False,False,False,False,False,True
21.0,1.66,64.0,1,0,477,0,0,0,1,0,0,False,False,False,True,False,True,False,False,False,True,False
21.0,1.66,62.0,1,170,477,0,1,549,1,589,840,True,True,False,False,False,True,False,False,False,True,False
21.0,1.81,80.0,0,0,477,0,0,549,0,1071,0,True,False,False,True,False,False,True,False,False,True,False
21.0,1.53,65.0,0,170,477,0,0,0,1,0,840,False,False,False,True,False,True,False,False,False,True,False
21.0,1.82,72.0,1,0,477,0,0,1267,1,1071,0,True,False,True,False,True,False,False,False,False,True,False
21.0,1.75,72.0,1,0,477,0,0,1267,1,1071,0,True,False,True,False,True,False,False,False,False,True,False
20.0,1.66,60.0,0,809,477,0,0,549,1,589,0,False,False,True,False,False,True,False,False,False,False,True
21.0,1.55,50.0,1,170,477,0,0,549,0,0,0,False,False,True,False,False,True,False,False,False,True,False
21.0,1.61,54.5,1,809,477,0,0,1267,1,0,840,False,False,True,False,False,True,False,False,False,False,True
20.0,1.5,44.0,1,170,477,0,0,0,0,0,0,False,False,True,False,False,True,False,False,False,False,False
23.0,1.64,52.0,1,809,0,0,0,549,0,1071,1128,False,False,False,True,False,True,False,False,False,True,False
23.0,1.63,55.0,0,809,477,1,0,549,1,1071,840,False,False,False,True,False,False,True,False,False,True,False
22.0,1.6,55.0,0,809,634,0,0,1267,0,1071,0,False,False,False,True,False,False,False,False,False,True,False
23.0,1.68,62.0,0,170,634,0,0,549,0,0,0,True,False,True,False,True,False,False,False,False,False,False
22.0,1.7,70.0,1,170,477,0,0,0,1,0,840,True,False,True,False,False,True,False,False,False,False,False
21.0,1.64,65.0,0,170,477,0,0,0,1,0,840,True,False,False,True,False,True,False,False,False,True,False
17.0,1.65,67.0,1,809,0,0,0,549,1,589,840,False,False,False,True,False,True,False,False,False,False,True
20.0,1.76,55.0,1,170,634,0,0,1267,1,1071,1128,True,False,False,True,False,True,False,False,False,True,False
21.0,1.55,49.0,1,170,477,0,0,1267,1,1189,840,False,False,True,False,False,True,False,False,False,True,False
20.0,1.65,58.0,1,170,477,0,0,549,0,1189,840,True,False,True,False,False,True,False,False,False,True,False
22.0,1.67,62.0,1,170,0,0,0,549,0,0,0,True,False,True,False,False,False,True,False,False,True,False
22.0,1.68,55.0,1,170,477,0,0,549,1,0,1128,True,False,True,False,False,True,False,False,False,False,False
21.0,1.66,57.0,1,170,477,0,0,0,1,589,840,False,False,False,True,True,False,False,False,False,True,False
21.0,1.62,69.0,1,0,477,0,0,549,1,0,840,False,False,False,True,True,False,False,False,False,True,False
23.0,1.8,90.0,1,0,477,0,0,549,1,0,1128,True,True,False,False,False,False,False,False,False,True,False
23.0,1.65,95.0,1,170,477,0,0,549,1,0,840,True,True,False,False,False,False,False,False,False,False,False
30.0,1.76,112.0,1,0,477,1,1,549,1,0,0,True,True,False,False,False,False,True,False,False,False,False
23.0,1.8,60.0,0,170,477,0,0,1267,1,0,840,True,False,True,False,False,False,True,False,False,True,False
23.0,1.65,80.0,1,170,477,0,0,549,1,0,1128,False,False,False,True,False,False,False,False,False,True,False
22.0,1.67,50.0,0,809,477,1,0,1267,1,1071,840,False,False,True,False,False,False,True,False,False,True,False
24.0,1.65,60.0,0,170,477,1,0,1267,1,589,0,False,False,False,True,False,True,False,False,False,True,False
19.0,1.85,65.0,0,170,477,0,0,1267,1,1071,840,True,False,True,False,False,True,False,True,False,False,False
24.0,1.7,85.0,1,170,477,0,0,1267,1,0,840,True,True,False,False,True,False,False,False,False,True,False
23.0,1.63,45.0,0,809,477,1,0,1267,1,1071,0,False,False,False,True,False,True,False,False,False,True,False
24.0,1.6,45.0,0,170,477,0,0,549,1,589,0,False,False,False,True,False,False,True,False,False,True,False
24.0,1.7,80.0,1,170,477,0,0,1267,1,0,0,False,False,False,True,False,True,False,False,False,True,False
23.0,1.65,90.0,1,170,477,0,0,1267,1,0,840,False,False,False,True,False,True,False,False,False,True,False
23.0,1.65,60.0,0,170,477,0,0,549,1,0,0,True,False,True,False,False,True,False,False,False,True,False
19.0,1.63,58.0,0,809,477,1,0,549,0,0,0,False,False,False,True,False,True,False,False,False,True,False
30.0,1.8,91.0,1,170,477,0,0,549,1,0,0,True,False,True,False,True,False,False,False,False,True,False
23.0,1.67,85.5,1,170,477,0,0,549,1,0,840,True,False,False,True,False,False,False,False,False,True,False
19.0,1.6,45.0,0,809,477,1,0,1267,0,1071,0,False,False,False,True,False,False,True,False,False,False,True
25.0,1.7,83.0,1,170,477,0,0,549,1,0,840,True,False,True,False,True,False,False,False,False,True,False
23.0,1.65,58.5,0,170,477,0,0,549,1,0,0,True,False,False,True,False,True,False,False,False,True,False
21.0,1.85,83.0,1,170,0,0,0,1267,1,589,0,True,False,False,True,True,False,False,False,False,True,False
19.0,1.82,87.0,1,170,477,0,0,549,1,0,0,True,False,False,True,False,True,False,False,False,True,False
22.0,1.65,65.0,1,170,477,1,0,549,1,589,0,False,False,False,True,True,False,False,False,False,False,False
